Content of this URL:  ftp://ftp.tceq.state.tx.us/pub/WaterResourceManagement/WaterQuality/DataCollection/CleanRivers/public/stations.txt
find record with SiteCode 16051 in database, skip it...
find record with SiteCode 16048 in database, skip it...
find record with SiteCode 15592 in database, skip it...
find record with SiteCode 10441 in database, skip it...
find record with SiteCode 14964 in database, skip it...
find record with SiteCode 15742 in database, skip it...
find record with SiteCode 15107 in database, skip it...
find record with SiteCode 16059 in database, skip it...
find record with SiteCode 10443 in database, skip it...
find record with SiteCode 14990 in database, skip it...
find record with SiteCode 10442 in database, skip it...
find record with SiteCode 16057 in database, skip it...
find record with SiteCode 16053 in database, skip it...
find record with SiteCode 16039 in database, skip it...
find record with SiteCode 16054 in database, skip it...
find record with SiteCode 16056 in database, skip it...
find record with SiteCode 18353 in database, skip it...
find record with SiteCode 18352 in database, skip it...
find record with SiteCode 15118 in database, skip it...
find record with SiteCode 15823 in database, skip it...
find record with SiteCode 18413 in database, skip it...
find record with SiteCode 14925 in database, skip it...
find record with SiteCode 16866 in database, skip it...
find record with SiteCode 18356 in database, skip it...
find record with SiteCode 13063 in database, skip it...
find record with SiteCode 13108 in database, skip it...
find record with SiteCode 13059 in database, skip it...
find record with SiteCode 17604 in database, skip it...
find record with SiteCode 17237 in database, skip it...
find record with SiteCode 17236 in database, skip it...
find record with SiteCode 18157 in database, skip it...
find record with SiteCode 18158 in database, skip it...
find record with SiteCode 18148 in database, skip it...
find record with SiteCode 18154 in database, skip it...
find record with SiteCode 18159 in database, skip it...
find record with SiteCode 18149 in database, skip it...
find record with SiteCode 18152 in database, skip it...
find record with SiteCode 18156 in database, skip it...
find record with SiteCode 18150 in database, skip it...
find record with SiteCode 18153 in database, skip it...
find record with SiteCode 18155 in database, skip it...
find record with SiteCode 18151 in database, skip it...
find record with SiteCode 18288 in database, skip it...
find record with SiteCode 18604 in database, skip it...
find record with SiteCode 18147 in database, skip it...
find record with SiteCode 18256 in database, skip it...
find record with SiteCode 18258 in database, skip it...
find record with SiteCode 12719 in database, skip it...
find record with SiteCode 18737 in database, skip it...
find record with SiteCode 12715 in database, skip it...
find record with SiteCode 15703 in database, skip it...
find record with SiteCode 12716 in database, skip it...
find record with SiteCode 16955 in database, skip it...
find record with SiteCode 17381 in database, skip it...
find record with SiteCode 17687 in database, skip it...
find record with SiteCode 16926 in database, skip it...
find record with SiteCode 11577 in database, skip it...
find record with SiteCode 16455 in database, skip it...
find record with SiteCode 10643 in database, skip it...
find record with SiteCode 14409 in database, skip it...
find record with SiteCode 14410 in database, skip it...
inert new Site record with SiteCode ==> 20750
find record with SiteCode 17653 in database, skip it...
inert new Site record with SiteCode ==> 20749
inert new Site record with SiteCode ==> 20748
inert new Site record with SiteCode ==> 20743
find record with SiteCode 20732 in database, skip it...
find record with SiteCode 16802 in database, skip it...
find record with SiteCode 11441 in database, skip it...
find record with SiteCode 16257 in database, skip it...
find record with SiteCode 16188 in database, skip it...
find record with SiteCode 12786 in database, skip it...
find record with SiteCode 11438 in database, skip it...
find record with SiteCode 13174 in database, skip it...
find record with SiteCode 15893 in database, skip it...
find record with SiteCode 15892 in database, skip it...
find record with SiteCode 13213 in database, skip it...
find record with SiteCode 13214 in database, skip it...
find record with SiteCode 13215 in database, skip it...
find record with SiteCode 16381 in database, skip it...
find record with SiteCode 13835 in database, skip it...
find record with SiteCode 16439 in database, skip it...
find record with SiteCode 13211 in database, skip it...
find record with SiteCode 13216 in database, skip it...
find record with SiteCode 13217 in database, skip it...
find record with SiteCode 13218 in database, skip it...
find record with SiteCode 13219 in database, skip it...
find record with SiteCode 13220 in database, skip it...
find record with SiteCode 13221 in database, skip it...
find record with SiteCode 13222 in database, skip it...
find record with SiteCode 16382 in database, skip it...
find record with SiteCode 13212 in database, skip it...
find record with SiteCode 13210 in database, skip it...
find record with SiteCode 10340 in database, skip it...
find record with SiteCode 18416 in database, skip it...
find record with SiteCode 10550 in database, skip it...
find record with SiteCode 15050 in database, skip it...
find record with SiteCode 16863 in database, skip it...
find record with SiteCode 20765 in database, skip it...
find record with SiteCode 12538 in database, skip it...
find record with SiteCode 17323 in database, skip it...
find record with SiteCode 10624 in database, skip it...
find record with SiteCode 18432 in database, skip it...
find record with SiteCode 18431 in database, skip it...
find record with SiteCode 10632 in database, skip it...
find record with SiteCode 10634 in database, skip it...
find record with SiteCode 10635 in database, skip it...
find record with SiteCode 10629 in database, skip it...
find record with SiteCode 10631 in database, skip it...
find record with SiteCode 10633 in database, skip it...
find record with SiteCode 10630 in database, skip it...
find record with SiteCode 10610 in database, skip it...
find record with SiteCode 10628 in database, skip it...
find record with SiteCode 10627 in database, skip it...
find record with SiteCode 14470 in database, skip it...
find record with SiteCode 10625 in database, skip it...
find record with SiteCode 10626 in database, skip it...
find record with SiteCode 13720 in database, skip it...
find record with SiteCode 13118 in database, skip it...
